Family,Feature,review_name,verification_bucket,StrictClassification,WhyNotCounted,RelatedBuiltInsTriedOrConsidered,RecommendedTreatment
Shape and morphology subset,ROI_RADIUS_MAX,UNVETTED_NO_DIRECT_ORACLE__ROI_RADIUS_MAX,UNVETTED_NO_DIRECT_ORACLE,Incomparable radius convention,cp-measure and DIPlib expose linear distance-to-edge radius statistics; Nyxus stores squared nearest-contour distances for ROI pixels.,cp-measure MaximumRadius; DIPlib Radius; Centrosome distance_to_edge,Keep as not available because units/definition differ.
Shape and morphology subset,ROI_RADIUS_MEDIAN,UNVETTED_NO_DIRECT_ORACLE__ROI_RADIUS_MEDIAN,UNVETTED_NO_DIRECT_ORACLE,Incomparable radius convention,cp-measure and DIPlib expose linear distance-to-edge radius statistics; Nyxus stores squared nearest-contour distances for ROI pixels.,cp-measure MedianRadius; DIPlib Radius; Centrosome distance_to_edge,Do not count the coincidental median agreement on this fixture.
Neighbor / touching features,CLOSEST_NEIGHBOR1_ANG,UNVETTED_NO_DIRECT_ORACLE__CLOSEST_NEIGHBOR1_ANG,UNVETTED_NO_DIRECT_ORACLE,Neighbor angle convention no direct scalar,"cp-measure exposes distances and a CellProfiler angle-between-neighbors measurement, but not Nyxus' direction angle to closest neighbor 1.",cp-measure MeasureObjectNeighbors,Do not derive centroid angles for oracle coverage.
Neighbor / touching features,CLOSEST_NEIGHBOR2_ANG,UNVETTED_NO_DIRECT_ORACLE__CLOSEST_NEIGHBOR2_ANG,UNVETTED_NO_DIRECT_ORACLE,Neighbor angle convention no direct scalar,"cp-measure exposes distances and a CellProfiler angle-between-neighbors measurement, but not Nyxus' direction angle to closest neighbor 2.",cp-measure MeasureObjectNeighbors,Do not derive centroid angles for oracle coverage.
Neighbor / touching features,ANG_BW_NEIGHBORS_MEAN,UNVETTED_NO_DIRECT_ORACLE__ANG_BW_NEIGHBORS_MEAN,UNVETTED_NO_DIRECT_ORACLE,Neighbor angle convention no direct scalar,cp-measure AngleBetweenNeighbors is not Nyxus' mean of all neighbor direction angles.,cp-measure MeasureObjectNeighbors AngleBetweenNeighbors,Keep as Nyxus-specific angle summary unless another tool exposes the same statistic.
Neighbor / touching features,ANG_BW_NEIGHBORS_STDDEV,UNVETTED_NO_DIRECT_ORACLE__ANG_BW_NEIGHBORS_STDDEV,UNVETTED_NO_DIRECT_ORACLE,Neighbor angle convention no direct scalar,cp-measure AngleBetweenNeighbors is not Nyxus' standard deviation of all neighbor direction angles.,cp-measure MeasureObjectNeighbors AngleBetweenNeighbors,Keep as Nyxus-specific angle summary unless another tool exposes the same statistic.
Neighbor / touching features,ANG_BW_NEIGHBORS_MODE,UNVETTED_NO_DIRECT_ORACLE__ANG_BW_NEIGHBORS_MODE,UNVETTED_NO_DIRECT_ORACLE,Neighbor angle convention no direct scalar,cp-measure AngleBetweenNeighbors is not Nyxus' rounded-angle mode over all neighbor direction angles.,cp-measure MeasureObjectNeighbors AngleBetweenNeighbors,Keep as Nyxus-specific angle summary unless another tool exposes the same statistic.
Remaining 2D chords,MAXCHORDS_MAX_ANG,UNVETTED_NO_DIRECT_ORACLE__MAXCHORDS_MAX_ANG,UNVETTED_NO_DIRECT_ORACLE,Chord family no direct oracle,No considered tool exposes Nyxus max/all chord summary features directly.,line profile and chord primitives only,Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D chords,MAXCHORDS_MIN_ANG,UNVETTED_NO_DIRECT_ORACLE__MAXCHORDS_MIN_ANG,UNVETTED_NO_DIRECT_ORACLE,Chord family no direct oracle,No considered tool exposes Nyxus max/all chord summary features directly.,line profile and chord primitives only,Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D chords,ALLCHORDS_MAX_ANG,UNVETTED_NO_DIRECT_ORACLE__ALLCHORDS_MAX_ANG,UNVETTED_NO_DIRECT_ORACLE,Chord family no direct oracle,No considered tool exposes Nyxus max/all chord summary features directly.,line profile and chord primitives only,Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D chords,ALLCHORDS_MIN_ANG,UNVETTED_NO_DIRECT_ORACLE__ALLCHORDS_MIN_ANG,UNVETTED_NO_DIRECT_ORACLE,Chord family no direct oracle,No considered tool exposes Nyxus max/all chord summary features directly.,line profile and chord primitives only,Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D polygonality/hexagonality,POLYGONALITY_AVE,UNVETTED_NO_DIRECT_ORACLE__POLYGONALITY_AVE,UNVETTED_NO_DIRECT_ORACLE,Composite score no direct oracle,"Related shape primitives exist, but not the Nyxus/Polus-style polygonality or hexagonality scalar.","area, perimeter, Feret primitives",Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D polygonality/hexagonality,HEXAGONALITY_AVE,UNVETTED_NO_DIRECT_ORACLE__HEXAGONALITY_AVE,UNVETTED_NO_DIRECT_ORACLE,Composite score no direct oracle,"Related shape primitives exist, but not the Nyxus/Polus-style polygonality or hexagonality scalar.","area, perimeter, Feret primitives",Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D polygonality/hexagonality,HEXAGONALITY_STDDEV,UNVETTED_NO_DIRECT_ORACLE__HEXAGONALITY_STDDEV,UNVETTED_NO_DIRECT_ORACLE,Composite score no direct oracle,"Related shape primitives exist, but not the Nyxus/Polus-style polygonality or hexagonality scalar.","area, perimeter, Feret primitives",Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D radial distribution,FRAC_AT_D,UNVETTED_NO_DIRECT_ORACLE__FRAC_AT_D,UNVETTED_NO_DIRECT_ORACLE,Radial vector convention no direct oracle,No considered package exposes the same Nyxus radial distribution vector convention.,radial profile primitives,Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D radial distribution,MEAN_FRAC,UNVETTED_NO_DIRECT_ORACLE__MEAN_FRAC,UNVETTED_NO_DIRECT_ORACLE,Radial vector convention no direct oracle,No considered package exposes the same Nyxus radial distribution vector convention.,radial profile primitives,Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
Remaining 2D radial distribution,RADIAL_CV,UNVETTED_NO_DIRECT_ORACLE__RADIAL_CV,UNVETTED_NO_DIRECT_ORACLE,Radial vector convention no direct oracle,No considered package exposes the same Nyxus radial distribution vector convention.,radial profile primitives,Keep marked UNVETTED_NO_DIRECT_ORACLE; do not count formula recomputation as V&V.
